timestamp,open,high,low,close
2025-10-14 14:00,1.15741,1.15974,1.15686,1.15938
2025-10-14 15:00,1.15938,1.16081,1.1586,1.16069
2025-10-14 16:00,1.16065,1.1615,1.16,1.16092
2025-10-14 17:00,1.16082,1.16122,1.1601,1.16091
2025-10-14 18:00,1.16092,1.1612,1.1603,1.1605
2025-10-14 19:00,1.16049,1.16112,1.1603,1.16055
2025-10-14 20:00,1.16053,1.1608,1.1598,1.16061
2025-10-14 21:00,1.16061,1.1611,1.16026,1.1606
2025-10-14 22:00,1.16073,1.1611,1.1602,1.16033
2025-10-14 23:00,1.1603,1.1606,1.1601,1.16029
